Material_Type,Strength_PSI,Weight_Capacity_KG,Biodegradability_%,CO2_Emission_Score_%,Recyclability_%,Cost_per_KG_USD
PLA Bioplastic,6963.56,,69.88,47.36,73.72,2.61
Bagasse Fiber,3932.29,18.61,94.3,20.93,84.53,1.14
Molded Pulp,2364.23,19.4,89.48,29.5,90.54,1.29
Bagasse Fiber,2515.32,15.21,99.59,31.94,89.61,0.92
Recycled PET (rPET),9535.79,8.83,16.85,48.39,83.64,1.57
Molded Pulp,2721.83,16.56,86.46,29.65,92.99,1.06
Bagasse Fiber,3340.4,9.55,97.01,28.09,80.7,0.91
Aluminum Packaging,11024.77,47.17,1.58,77.62,94.8,
Kraft Paper,6914.05,4.13,90.01,41.96,83.81,0.63
Cotton Fiber,,,87.57,40.67,76.59,2.07
Recycled PET (rPET),8587.42,7.6,10.56,67.65,81.71,2.14
Mushroom Mycelium,1226.54,2.94,98.55,22.17,80.86,2.24
PHA Bioplastic,5111.21,2.71,90.99,61.41,64.85,2.86
Hemp Fiber,5460.08,13.04,85.22,33.12,74.48,1.12
Hemp Fiber,7164.47,3.27,97.59,34.93,87.38,1.88
Bamboo Fiber,6406.28,11.91,94.93,22.25,,1.15
Starch-Based Packaging,2850.9,3.83,91.09,24.35,83.44,1.48
Bagasse Fiber,4654.57,19.79,98.56,32.49,88.13,1.27
Aluminum Packaging,12674.48,23.16,1.17,81.47,99.44,4.8
Cotton Fiber,4195.39,15.9,89.74,42.06,75.66,1.97
PHA Bioplastic,5070.92,4.03,97.28,53.38,58.22,2.02
Hemp Fiber,6785.12,4.44,87.66,20.44,83.2,1.48
Bamboo Fiber,6562.95,20.51,92.68,38.09,,1.74
Starch-Based Packaging,3092.78,4.55,98.13,18.3,73.7,1.71
Bamboo Fiber,6178.88,27.03,95.82,34.32,82.16,1.47
Hemp Fiber,7334.55,11.93,97.81,30.77,87.35,1.33
Aluminum Packaging,18416.46,47.54,1.63,88.12,98.85,3.25
PHA Bioplastic,8343.79,,80.69,61.36,57.43,3.75
PLA Bioplastic,9766.92,7.58,78.0,63.0,68.19,2.74
Mushroom Mycelium,2877.92,8.38,95.13,10.11,67.63,1.69
Mushroom Mycelium,3032.68,6.69,96.12,28.94,73.19,1.86
Starch-Based Packaging,3104.39,5.92,94.73,27.79,71.62,1.47
Bagasse Fiber,3693.59,14.38,91.72,15.6,84.95,1.14
PHA Bioplastic,8546.34,9.9,,62.43,66.0,3.43
Mushroom Mycelium,1408.41,7.98,98.96,13.96,84.97,2.83
Plywood (Lightweight),9221.91,39.27,54.04,49.54,59.87,4.23
Molded Pulp,3467.36,10.4,96.73,30.24,96.94,1.42
Bamboo Fiber,3203.3,7.77,97.1,21.79,81.59,1.44
PLA Bioplastic,7465.51,,69.11,51.57,74.63,
Recycled PET (rPET),10366.05,24.81,19.74,50.0,76.23,1.79
Mushroom Mycelium,2852.25,1.52,97.37,17.87,62.87,2.43
Plywood (Lightweight),10019.41,69.49,,52.05,63.95,2.71
PHA Bioplastic,5795.43,5.86,85.51,38.07,61.03,2.88
Kraft Paper,4653.27,13.83,86.48,25.51,,0.5
Aluminum Packaging,13076.87,21.94,4.04,74.72,88.46,3.26
Recycled PET (rPET),11517.99,10.12,11.78,53.44,,2.2
Hemp Fiber,5381.92,,99.06,16.48,73.62,2.12
Mushroom Mycelium,3361.52,9.07,98.28,11.73,74.11,2.62
Corrugated Cardboard,4313.63,6.72,78.9,49.63,94.89,0.66
Recycled Paperboard,3790.37,,88.22,32.55,80.42,0.65
PHA Bioplastic,6458.12,7.95,99.25,52.64,58.36,3.65
Plywood (Lightweight),11414.03,14.46,,64.65,72.45,3.27
Kraft Paper,6669.17,24.09,82.55,38.03,89.01,0.84
Bagasse Fiber,2410.49,17.8,94.96,28.57,87.23,0.94
Bamboo Fiber,4046.97,21.93,96.54,23.11,83.72,1.16
Hemp Fiber,7309.37,32.85,86.31,22.74,88.56,2.16
PHA Bioplastic,5540.78,3.33,90.79,44.12,64.32,2.36
PLA Bioplastic,7086.96,4.38,79.09,45.99,72.99,1.85
Hemp Fiber,5084.08,32.66,87.23,27.87,73.44,2.39
PHA Bioplastic,7806.35,5.94,99.01,58.03,53.22,2.28
Bagasse Fiber,3948.54,24.02,96.57,21.44,82.67,1.19
Starch-Based Packaging,1724.93,3.75,93.44,33.28,82.13,2.36
Bagasse Fiber,2496.1,20.44,98.24,,86.73,1.6
Bagasse Fiber,4889.79,3.98,90.63,18.46,91.76,1.09
PHA Bioplastic,6467.1,2.3,,,45.74,3.9
Cotton Fiber,3296.84,8.15,85.99,53.55,69.24,1.65
Plywood (Lightweight),9920.25,45.9,58.52,63.55,69.86,4.09
Kraft Paper,7170.68,13.02,89.61,44.72,80.92,0.42
PHA Bioplastic,7428.11,8.58,96.32,49.41,68.43,3.53
Molded Pulp,2516.25,7.61,87.51,23.71,91.32,0.63
Bagasse Fiber,4525.92,13.15,95.92,27.86,86.92,1.35
Hemp Fiber,4751.3,33.25,94.85,22.93,86.1,1.12
Cotton Fiber,5491.89,8.03,92.32,56.75,75.12,2.35
Aluminum Packaging,16288.17,35.48,2.97,79.55,95.2,3.83
Bamboo Fiber,6548.57,13.91,92.05,29.19,76.18,1.74
Recycled Paperboard,4003.18,21.59,73.27,44.89,85.44,1.38
Cotton Fiber,3665.71,11.99,94.08,41.37,67.92,1.23
PHA Bioplastic,6685.19,5.34,82.78,47.17,53.32,2.98
Plywood (Lightweight),13765.28,66.6,,61.94,58.87,2.25
Bamboo Fiber,5600.13,12.64,98.2,22.1,88.64,1.03
Kraft Paper,6376.04,15.1,77.55,27.73,83.35,0.89
Plywood (Lightweight),13814.9,48.49,58.67,50.17,51.09,4.28
PLA Bioplastic,6978.41,13.17,73.2,61.02,65.51,1.56
Molded Pulp,3896.17,15.63,99.08,26.34,,
PLA Bioplastic,9282.86,12.98,81.46,65.68,65.17,2.16
Cotton Fiber,5629.22,,81.08,36.1,72.96,1.44
PHA Bioplastic,6063.02,10.51,91.51,57.73,55.49,3.12
Molded Pulp,3151.85,18.53,89.53,36.49,92.72,1.46
Hemp Fiber,7465.01,15.49,98.92,19.66,78.19,2.02
Aluminum Packaging,19441.72,46.32,1.43,79.92,95.39,4.09
Hemp Fiber,6130.67,22.19,98.27,17.43,72.57,1.51
Aluminum Packaging,14152.6,19.32,3.15,73.21,96.6,4.89
Recycled PET (rPET),10736.22,10.92,16.53,69.02,91.0,2.61
Molded Pulp,2731.42,7.7,90.31,33.22,85.79,0.8
Recycled PET (rPET),9476.95,,11.34,70.24,72.49,2.65
PLA Bioplastic,9464.3,4.8,81.79,60.65,69.46,3.36
Cotton Fiber,4560.15,11.48,90.99,32.51,73.1,1.28
Kraft Paper,7388.44,13.9,80.92,25.72,77.27,0.44
Cotton Fiber,5635.78,3.7,90.5,49.13,63.54,2.89
Molded Pulp,1859.74,16.75,99.52,23.01,,1.38
Corrugated Cardboard,4869.83,28.41,82.78,33.21,92.93,0.54
Bagasse Fiber,2603.16,8.03,95.18,18.15,93.23,0.91
Hemp Fiber,7042.03,15.74,85.77,22.12,83.13,2.2
Recycled PET (rPET),9166.45,9.2,5.01,47.53,80.67,2.42
Bagasse Fiber,2562.5,14.41,96.27,30.05,87.23,1.61
PLA Bioplastic,8931.49,13.77,78.83,43.95,51.63,2.39
Cotton Fiber,3783.54,14.75,84.52,54.42,71.17,1.67
Hemp Fiber,6229.51,4.52,98.46,28.79,81.87,
Recycled Paperboard,6465.29,17.11,70.9,41.31,93.56,1.3
PLA Bioplastic,,,64.0,54.27,70.76,2.55
PLA Bioplastic,6989.68,3.64,76.24,41.15,71.98,2.58
Bamboo Fiber,5077.51,13.22,99.34,27.03,82.01,1.65
Mushroom Mycelium,1096.91,13.5,97.77,24.88,73.32,2.68
Aluminum Packaging,18256.61,21.48,3.62,63.81,95.19,3.96
Aluminum Packaging,18880.62,6.61,3.97,75.85,97.34,4.97
Cotton Fiber,3560.66,2.97,85.55,38.52,62.49,2.35
Bamboo Fiber,6193.51,23.38,88.23,36.62,86.96,0.97
Aluminum Packaging,12580.09,45.91,2.4,84.91,93.41,3.05
Aluminum Packaging,13251.77,12.67,0.98,82.53,85.89,3.96
Corrugated Cardboard,6397.83,39.99,77.71,53.22,86.43,0.79
Kraft Paper,6541.88,8.34,86.14,36.16,84.97,0.69
Cotton Fiber,4132.55,11.97,94.24,55.68,76.84,1.9
Recycled PET (rPET),11193.99,21.71,8.93,54.92,83.57,2.16
Hemp Fiber,5548.74,9.19,90.24,28.62,80.42,1.64
Recycled PET (rPET),11138.75,25.29,,47.87,80.14,2.18
Aluminum Packaging,14316.82,43.12,0.18,68.28,88.86,4.57
Starch-Based Packaging,3179.18,1.19,95.14,24.26,,2.24
Recycled Paperboard,4265.87,,85.61,46.75,94.03,1.3
Cotton Fiber,3651.95,4.86,83.44,35.14,71.57,2.08
Corrugated Cardboard,6498.47,18.33,80.15,53.07,,0.64
Mushroom Mycelium,2125.65,8.58,95.08,23.89,,2.07
Cotton Fiber,5735.92,16.2,90.06,33.73,74.74,1.35
Recycled Paperboard,5536.15,13.16,74.14,44.85,88.22,
PHA Bioplastic,8628.01,7.32,98.91,64.25,52.09,3.32
Bagasse Fiber,3840.86,11.69,91.11,33.72,90.17,1.71
Hemp Fiber,7349.21,25.62,90.66,18.5,70.8,1.28
Recycled Paperboard,6629.53,19.68,82.62,38.73,81.5,1.18
Starch-Based Packaging,1618.3,11.88,99.25,20.09,72.43,1.79
Corrugated Cardboard,4677.88,14.94,89.24,43.32,93.54,0.82
Aluminum Packaging,,25.7,3.03,,90.27,2.84
Recycled PET (rPET),10626.67,20.01,17.99,57.92,89.92,2.59
Bagasse Fiber,4470.09,12.36,99.23,17.29,84.51,1.61
Molded Pulp,3496.51,10.66,,24.89,92.19,0.82
Kraft Paper,4522.9,12.19,79.45,32.92,80.13,0.87
Kraft Paper,4166.26,8.85,91.66,44.07,86.65,0.74
Plywood (Lightweight),8608.65,49.59,53.29,49.95,50.67,2.25
Hemp Fiber,,8.62,86.95,22.65,89.58,1.69
PHA Bioplastic,8066.16,7.08,85.82,36.35,58.5,3.38
Aluminum Packaging,15796.36,15.34,1.18,69.83,99.61,2.78
Recycled PET (rPET),11838.93,28.81,12.41,49.66,75.91,2.15
Bamboo Fiber,5180.7,9.2,95.19,32.79,87.48,1.03
Bagasse Fiber,4049.05,17.83,94.8,33.03,88.09,0.96
Corrugated Cardboard,3044.09,38.27,75.25,,93.71,0.81
Hemp Fiber,7964.21,13.67,90.56,26.83,78.52,1.1
Plywood (Lightweight),8927.74,15.62,58.92,56.88,61.97,4.46
Recycled Paperboard,5747.58,28.97,75.65,,84.41,0.96
Cotton Fiber,5208.01,10.01,86.48,41.25,72.89,2.24
Aluminum Packaging,16840.45,,4.76,71.65,90.04,4.46
Corrugated Cardboard,3683.77,22.6,81.05,51.03,90.81,0.8
Plywood (Lightweight),14247.88,44.88,62.49,60.13,65.0,
Molded Pulp,1768.98,7.78,89.26,21.65,94.53,0.77
PHA Bioplastic,8883.27,10.65,80.61,52.2,57.82,3.98
Bagasse Fiber,3993.1,18.64,91.38,15.04,89.32,0.88
PHA Bioplastic,8823.88,8.21,98.98,44.69,69.01,2.91
Kraft Paper,5121.6,20.56,81.79,49.22,77.96,0.42
PHA Bioplastic,8663.12,11.34,85.34,38.12,69.66,2.5
Bagasse Fiber,2519.85,7.72,97.74,21.29,87.17,1.45
Recycled Paperboard,5122.34,19.44,79.06,36.03,86.26,0.86
Hemp Fiber,4070.29,20.41,,32.49,71.61,1.77
Recycled Paperboard,4319.22,4.91,79.35,,81.81,0.88
Corrugated Cardboard,6855.37,39.69,89.6,32.0,84.89,0.93
PHA Bioplastic,7820.32,8.54,84.92,47.18,53.62,
PHA Bioplastic,8693.78,5.23,99.23,55.83,50.85,3.41
Mushroom Mycelium,1262.95,9.91,99.07,13.13,78.67,1.99
Bamboo Fiber,3069.44,21.59,87.01,24.45,,1.59
Kraft Paper,5435.4,23.03,77.83,43.45,79.35,0.66
Recycled Paperboard,6175.41,6.84,71.4,38.91,80.05,1.16
PLA Bioplastic,7832.55,5.3,69.61,58.58,65.59,3.28
Bagasse Fiber,3554.37,7.7,,22.52,91.29,0.81
Bamboo Fiber,5863.22,23.41,94.33,30.03,84.93,0.86
Hemp Fiber,5014.54,4.59,85.65,20.79,,1.48
Recycled Paperboard,7252.54,10.15,75.59,45.61,87.92,0.93
Hemp Fiber,5490.62,25.31,85.99,26.18,88.34,1.54
Starch-Based Packaging,2161.05,5.13,95.41,34.64,,2.17
Recycled PET (rPET),9535.17,24.26,7.0,61.29,72.12,1.75
PHA Bioplastic,8074.5,8.81,80.82,63.01,,3.06
Starch-Based Packaging,3050.0,4.17,99.58,27.05,67.66,1.76
Cotton Fiber,5707.73,5.33,,51.98,70.67,1.83
Starch-Based Packaging,3433.89,10.2,96.59,18.9,77.26,1.16
Aluminum Packaging,16884.65,27.19,1.94,67.64,,3.93
Recycled Paperboard,5016.61,23.81,83.4,41.42,81.72,0.82
Molded Pulp,2523.9,16.77,85.48,30.55,92.48,
Corrugated Cardboard,3767.75,21.06,81.18,,86.57,0.52
Bagasse Fiber,3685.44,,90.92,20.75,87.18,1.19
Kraft Paper,7485.4,14.93,82.59,27.22,87.91,0.73
Kraft Paper,6087.79,21.22,83.41,49.85,83.62,0.56
Mushroom Mycelium,2204.8,13.1,95.33,27.35,77.62,2.53
Bamboo Fiber,5573.54,10.24,98.08,29.6,83.06,1.35
Kraft Paper,6093.33,3.93,88.45,43.77,89.03,0.78
PHA Bioplastic,8911.57,9.04,83.61,43.92,48.22,3.25
PLA Bioplastic,8338.44,5.0,64.76,40.45,51.08,3.42
Kraft Paper,6982.78,15.7,79.82,26.24,79.76,0.7
Plywood (Lightweight),12165.88,63.19,73.08,41.46,63.49,3.49
PHA Bioplastic,5032.42,4.07,93.17,35.45,59.87,2.79
PLA Bioplastic,6650.69,11.36,69.56,53.56,67.02,2.25
Bamboo Fiber,4000.23,22.73,97.74,21.26,88.3,1.13
Plywood (Lightweight),9575.77,29.98,60.48,60.44,73.8,2.82
PLA Bioplastic,7439.28,14.27,78.32,,51.77,2.54
PHA Bioplastic,7560.74,9.85,81.71,48.24,,
Hemp Fiber,7586.56,6.59,95.07,30.63,73.16,1.8
PLA Bioplastic,7330.06,14.66,83.57,41.2,57.94,1.81
Bamboo Fiber,3098.37,26.67,85.35,25.0,82.02,1.65
Hemp Fiber,7029.65,34.89,89.81,22.75,81.59,1.88
Molded Pulp,2156.44,18.75,95.45,32.03,88.66,
Mushroom Mycelium,3227.98,12.2,95.79,,64.09,2.51
Kraft Paper,4081.49,6.02,87.57,29.89,87.06,0.45
Cotton Fiber,4617.92,7.78,89.1,46.91,76.38,2.76
Bagasse Fiber,2284.07,9.17,92.92,29.55,91.27,1.27
Starch-Based Packaging,2912.64,7.07,96.25,21.2,84.37,1.75
PLA Bioplastic,7981.95,7.48,83.95,48.14,67.55,
PLA Bioplastic,6548.11,12.08,69.74,56.14,55.52,2.32
Plywood (Lightweight),13079.55,,65.01,49.81,63.03,4.18
Cotton Fiber,3576.23,5.21,93.85,42.34,,1.39
Kraft Paper,4170.64,24.51,88.34,25.72,82.54,0.97
Hemp Fiber,5722.35,3.21,91.22,22.53,84.69,1.6
PLA Bioplastic,9735.95,10.07,64.03,46.4,61.32,2.62
Starch-Based Packaging,2399.95,11.87,93.36,23.31,69.97,2.47
Molded Pulp,3262.01,13.06,86.3,38.84,85.2,
Molded Pulp,2115.24,12.92,93.42,36.3,94.66,1.03
Aluminum Packaging,16506.39,42.85,3.84,65.66,97.53,4.56
Cotton Fiber,3054.06,7.81,93.82,,66.91,1.34
Starch-Based Packaging,3963.09,2.5,98.08,16.54,83.06,1.98
Corrugated Cardboard,5263.09,23.3,71.73,53.95,92.11,0.56
Corrugated Cardboard,3110.2,22.37,79.82,32.63,85.82,1.02
Mushroom Mycelium,1191.28,5.2,99.53,19.01,81.05,2.93
PLA Bioplastic,8040.81,9.67,65.5,51.84,51.05,3.0
Mushroom Mycelium,2150.9,4.84,99.55,,72.1,2.88
Kraft Paper,6262.22,16.4,88.59,27.97,83.19,0.57
Recycled Paperboard,5912.9,14.6,81.01,28.64,92.28,1.32
Plywood (Lightweight),8994.69,19.94,60.04,,55.42,3.97
Molded Pulp,3382.09,10.22,90.15,32.25,95.26,0.9
Bamboo Fiber,,16.22,89.46,29.7,86.87,1.51
PLA Bioplastic,9892.03,14.6,70.0,61.63,67.52,1.56
Cotton Fiber,4094.06,11.23,,38.08,77.61,2.17
Recycled Paperboard,7492.12,12.64,71.46,47.67,83.28,1.37
Aluminum Packaging,11659.01,13.54,3.19,78.19,,2.93
Starch-Based Packaging,2001.95,5.56,,18.17,81.59,1.05
Hemp Fiber,5559.77,17.63,93.26,28.6,70.53,2.11
Cotton Fiber,4201.73,12.46,80.18,40.15,67.62,2.89
Molded Pulp,3864.86,19.87,96.39,31.0,92.12,1.19
Recycled PET (rPET),10851.26,5.86,11.82,62.2,92.76,2.04
Aluminum Packaging,11746.76,33.97,0.77,76.5,93.05,3.5
Recycled PET (rPET),8143.62,3.59,15.78,60.17,78.53,2.72
Hemp Fiber,5316.39,18.46,86.55,34.52,82.55,1.34
Plywood (Lightweight),11703.21,73.46,64.07,53.14,51.96,3.71
Bamboo Fiber,6684.73,16.48,85.27,26.77,76.5,1.7
Starch-Based Packaging,3979.26,5.19,95.01,26.02,68.24,1.52
Recycled Paperboard,4334.56,33.59,72.58,33.82,88.54,0.99
PLA Bioplastic,7473.47,8.2,65.44,60.48,,2.15
Plywood (Lightweight),13286.64,43.12,67.88,51.24,70.13,4.0
Recycled Paperboard,4332.51,14.68,80.91,44.79,83.21,1.15
Cotton Fiber,3197.8,13.67,,58.59,66.18,1.47
Hemp Fiber,7122.08,22.13,91.14,28.13,81.75,1.12
Recycled Paperboard,6234.75,5.04,72.54,25.49,90.96,1.07
PLA Bioplastic,7871.19,7.24,,40.37,,2.89
Recycled PET (rPET),10378.05,20.92,19.27,69.99,78.38,2.47
PHA Bioplastic,8484.09,11.0,93.14,44.8,56.46,3.27
Recycled PET (rPET),,11.9,13.65,55.77,92.95,1.25
Cotton Fiber,4126.29,19.96,82.62,59.92,70.66,1.42
Recycled PET (rPET),9309.33,27.48,10.59,70.38,86.47,
Mushroom Mycelium,3028.25,13.05,96.18,20.44,74.66,1.67
Mushroom Mycelium,3025.59,1.53,95.0,24.5,72.62,2.88
Mushroom Mycelium,2202.89,10.31,95.21,,65.12,2.4
Cotton Fiber,3880.09,17.09,93.81,35.35,64.59,2.79
Kraft Paper,4787.77,8.52,89.38,25.46,80.76,0.97
Mushroom Mycelium,1835.27,6.7,95.09,,63.53,2.54
PLA Bioplastic,8230.14,7.73,82.11,45.35,66.02,3.01
PHA Bioplastic,8205.98,8.63,98.42,56.36,67.86,2.88
Starch-Based Packaging,2105.07,7.04,94.97,,75.22,1.18
Bamboo Fiber,4199.67,29.92,96.71,21.42,75.46,1.54
Hemp Fiber,4050.24,28.47,96.22,29.03,71.31,1.15
Cotton Fiber,4554.66,4.14,84.79,59.0,62.51,2.75
Bagasse Fiber,4730.5,20.18,95.99,,81.63,1.8
Recycled Paperboard,4237.19,32.35,77.27,49.31,84.13,1.04
Plywood (Lightweight),12678.77,58.82,59.33,57.47,63.03,3.84
Bamboo Fiber,5404.5,17.38,91.79,33.32,77.67,1.77
Recycled Paperboard,6760.08,8.97,82.99,25.91,80.16,0.86
Mushroom Mycelium,2213.26,1.02,96.64,20.97,82.14,2.92
Recycled PET (rPET),10808.84,7.55,8.17,60.3,70.6,1.47
Aluminum Packaging,18733.61,10.07,3.51,61.37,94.2,4.85
Bagasse Fiber,2921.37,8.42,95.16,19.33,81.09,1.29
Molded Pulp,3697.58,,97.97,34.09,96.61,0.85
Mushroom Mycelium,2340.94,5.95,98.44,18.61,65.25,2.84
Starch-Based Packaging,1856.46,3.36,99.36,25.19,,1.53
Recycled Paperboard,4159.32,6.59,72.92,25.26,90.91,1.08
Bamboo Fiber,6924.32,9.61,89.84,,82.79,1.82
Recycled PET (rPET),10611.68,7.75,7.91,47.36,73.9,1.35
Bagasse Fiber,2375.29,24.63,97.15,34.67,88.05,1.42
Molded Pulp,2525.87,4.6,89.87,22.84,97.75,0.78
PLA Bioplastic,,11.55,73.17,61.44,73.63,3.25
Molded Pulp,3785.69,5.62,93.9,31.52,91.54,0.99
Starch-Based Packaging,3908.72,10.68,95.92,23.41,84.43,2.2
Starch-Based Packaging,3623.42,10.62,94.85,30.81,69.65,2.22
Plywood (Lightweight),9891.19,69.05,62.4,62.34,57.74,2.92
PHA Bioplastic,8600.99,7.95,82.86,39.53,57.2,2.13
Starch-Based Packaging,,4.15,98.22,26.25,71.47,2.45
Bamboo Fiber,5776.51,28.37,94.96,33.33,77.01,1.23
Bagasse Fiber,4931.95,19.29,95.23,24.83,91.61,0.86
Mushroom Mycelium,2178.35,12.53,95.48,14.05,75.45,2.75
Molded Pulp,1995.52,10.0,88.74,29.59,92.99,0.93
Kraft Paper,7149.81,4.25,80.2,31.09,89.23,0.78
PHA Bioplastic,8876.09,3.89,97.22,58.98,53.47,2.15
PHA Bioplastic,6657.76,6.99,84.01,53.85,62.48,3.74
Plywood (Lightweight),11784.43,32.04,61.36,64.41,61.85,2.46
PHA Bioplastic,6429.01,2.71,83.62,35.86,61.17,3.5
Bagasse Fiber,4464.02,7.38,92.0,21.66,92.34,0.89
Recycled PET (rPET),7519.67,7.49,5.34,58.91,94.31,1.58
Cotton Fiber,5872.19,8.91,84.51,52.15,72.14,2.46
Starch-Based Packaging,3847.59,4.36,91.13,33.26,72.37,1.39
Corrugated Cardboard,5579.03,8.86,,31.1,89.1,0.69
Starch-Based Packaging,1661.69,,98.7,32.24,70.67,1.87
