Material_Type,Strength_PSI,Weight_Capacity_KG,Biodegradability_%,CO2_Emission_Score_%,Recyclability_%,Cost_per_KG_USD,CO2_Impact_Index,Cost_Efficiency_Index,Material_Suitability_Score,Predicted_Cost,Predicted_CO2,Cost_Score,CO2_Score,AI_Recommendation_Score
Kraft Paper,4959.01,14.12,85.97050847457626,31.01,83.91,0.44,0.7670544130270132,0.3215998277634701,0.6373248419221673,0.5920245696970573,31.810425,0.9750190933109497,0.7440394,0.8595292548120606
Kraft Paper,5932.81,24.63,78.16,28.43,89.03,0.68,0.8052116864428174,0.4019908119380674,0.6567233312446805,0.69556030569717,30.057352,0.9504896040259648,0.7675959,0.859042745605054
Bagasse Fiber,4464.02,7.38,92.0,21.66,92.34,0.89,0.8749624387780863,0.3004922110900353,0.6940267710111191,1.1225168136078012,22.593178,0.8493358817407721,0.8678937,0.8586147887860355
Molded Pulp,1977.79,17.8,92.26,22.68,95.78,0.86,0.8762695632416055,0.3001457812859353,0.6592003301600964,1.0972425752937558,23.14185,0.8553238061218752,0.8605211,0.8579224421158083
Bagasse Fiber,2921.37,8.42,95.16,19.33,81.09,1.29,0.861800674072204,0.2799634715160551,0.6628730390527933,1.2762776982025548,20.02561,0.8129071459551617,0.9023947,0.8576509289632224
Kraft Paper,7369.62,21.5,94.01,33.09,87.94,0.54,0.7607652158545821,0.4037526462469739,0.6908022130130151,0.7485071526186228,29.422218,0.9379455379439687,0.7761303,0.8570379282928157
Bagasse Fiber,3948.54,24.02,96.57,21.44,82.67,1.19,0.8478963923251702,0.3756878820260322,0.6767157245295625,1.2136691273891322,21.239563,0.8277402492511521,0.88608253,0.8569113896364098
Molded Pulp,1540.31,10.43,88.8,22.11,90.09,1.19,0.8642361701590507,0.2548278145737353,0.6363006183101445,1.059961373930166,23.998005,0.8641563973093136,0.8490167,0.8565865616631559
Bagasse Fiber,3554.37,7.7,94.95833333333331,22.52,91.29,0.81,0.8642133476394849,0.28124496415756,0.6805566331095343,1.0974300961196168,23.366678,0.8552793790451346,0.8575,0.8563896978672176
Kraft Paper,5230.14,19.81,91.32,29.44,87.99,0.68,0.7931671724312042,0.3602913765013762,0.6663248099029159,0.70189909888857,30.382645,0.9489878292216787,0.76322484,0.8561063346929316
Bagasse Fiber,2536.78,22.15,90.69,20.55,81.39,1.24,0.8519205680383741,0.3393088815817672,0.6439686429856564,1.246103765889707,21.012903,0.8200558965020555,0.8891282,0.8545920523312279
Kraft Paper,4081.49,6.02,87.57,29.89,87.06,0.45,0.7864009038121687,0.2648771252447735,0.6375279236667075,0.567749164307915,33.130085,0.9807703760987688,0.7263069,0.8535386456909859
Bagasse Fiber,2284.07,9.17,92.92,29.55,91.27,1.27,0.8020351956576621,0.2448921107612197,0.6302117512778584,1.1140078812929026,23.556595,0.8513518017709802,0.85494804,0.8531499227971112
Molded Pulp,2259.91,17.49,96.77,21.07,89.25,1.03,0.8709057687452664,0.3084267213871338,0.6656205268357152,1.1526435206110475,23.002653,0.8421983197242409,0.8623915,0.8522948957935169
Kraft Paper,6376.04,15.1,77.55,27.73,83.35,0.89,0.7943569931835395,0.3640554731331255,0.6536321975197669,0.684817729315217,31.27456,0.953034714752313,0.75124,0.8521373648911101
Kraft Paper,7485.4,14.93,82.59,27.22,87.91,0.73,0.8125434309517798,0.3872964431548652,0.6918928667118627,0.755435026127881,30.04628,0.9363041993532728,0.76774466,0.8520244298653876
Bamboo Fiber,5600.13,12.64,98.2,22.1,88.64,1.03,0.8599745316839182,0.3497027826441725,0.7149051907648878,1.1536632534614757,23.066011,0.8419567265604264,0.86154014,0.8517484326409462
Bagasse Fiber,2519.85,7.72,97.74,21.29,87.17,1.45,0.8627218151981823,0.2631681630659453,0.6665806051015811,1.240405864974317,21.55687,0.8214058323295346,0.88181883,0.851612331648242
Molded Pulp,3184.19,11.33,91.01,23.08,97.13,0.82,0.8767851022469073,0.2908112926682971,0.6764984450221315,1.0594485865239958,24.822285,0.8642778859244631,0.8379407,0.8511092894130372
Kraft Paper,5699.76,6.78,91.07,30.28,87.56,0.67,0.7844548043423378,0.3010807588093165,0.6690298254658366,0.7194133207029745,30.847437,0.9448383931628979,0.75697935,0.8509088697191137
Molded Pulp,1859.74,16.75,99.52,23.01,92.14764705882354,1.38,0.8624565740974501,0.2915047625244519,0.6634003313541073,1.1069431304943593,24.1066,0.8530255690682327,0.84755754,0.8502915568882423
Starch-Based Packaging,3276.65,5.82,90.82,17.49,74.38,1.28,0.8579291946478161,0.2785987323059703,0.6532136489239986,1.4603861013485264,18.095196,0.7692885339018327,0.9283341,0.8488113254187813
Molded Pulp,2516.25,7.61,87.51,23.71,91.32,0.63,0.8537883261802575,0.2564210026641708,0.6451781712408842,1.028123425438062,25.758884,0.8716993833986009,0.8253554,0.8485273969872338
Kraft Paper,7149.81,4.25,80.2,31.09,89.23,0.78,0.7823075208280739,0.3159085352274077,0.6699138130151656,0.7632617443606294,30.428892,0.9344499081834434,0.76260346,0.8485266849629223
Bagasse Fiber,3169.09,17.22,94.95833333333331,21.86,85.09,0.92,0.8514452082807371,0.3237548311905177,0.6647108489549192,1.1538314131116634,23.56169,0.8419168864965334,0.8548796,0.8483982520937867
Bamboo Fiber,4000.23,22.73,97.74,21.26,88.3,1.13,0.8663768997727845,0.3705971923204333,0.6917975620274028,1.194907146764845,22.923655,0.8321853019495562,0.86345303,0.8478191662678994
Bagasse Fiber,2170.9,14.68016393442623,99.89,24.23,89.43,0.73,0.8435235268871497,0.2842229665726653,0.6588872337240099,1.091656786585434,24.80145,0.8566471805388863,0.83822066,0.8474339182285038
Kraft Paper,4787.77,8.52,89.38,25.46,80.76,0.97,0.8066450593284524,0.3033997713307622,0.6562263951542553,0.8343414520977387,29.374855,0.9176098392693114,0.7767668,0.8471883081539429
Bagasse Fiber,2518.74,20.88,91.07,31.86,81.92,1.7,0.7535736834132795,0.303878177857286,0.6026810160632684,1.2469197874453926,22.14275,0.819862566230018,0.8739462,0.8469043780551946
Starch-Based Packaging,2980.8583333333336,9.53,96.49,16.62,65.24,1.08,0.838196647311285,0.2937155850559151,0.6450164768522586,1.4758604421111092,18.20929,0.7656223825748399,0.926801,0.846211704221151
Bamboo Fiber,5836.11,13.87,97.26,22.66,85.29,1.29,0.8449762862913405,0.3594453537412853,0.7078437883808603,1.2258291645202297,22.647243,0.8248593164250992,0.86716723,0.8460132754229378
Molded Pulp,2964.95,7.52,85.27,24.6,96.5,0.93,0.8614641504670537,0.2629447232359102,0.654606646913275,1.051188861384299,25.758566,0.8662347642655885,0.8253597,0.8457972331879395
Kraft Paper,5979.862698412697,3.93,82.92,30.09,84.58,0.81,0.7771936733148195,0.2927229459430289,0.6517935810854113,0.7967528371567218,30.475721,0.9265152622957348,0.7619742,0.844244738901621
Bamboo Fiber,5878.81,14.77,92.54,22.02,85.78,1.05,0.8521014238828579,0.3665502861702023,0.7024559156624732,1.1989502103708074,23.527544,0.8312274270241211,0.8553384,0.8432829108329987
Starch-Based Packaging,3963.09,2.5,98.08,16.54,83.06,1.98,0.8923635395102246,0.2781119500979306,0.6992994875823018,1.5535001402029098,17.36561,0.7472281332459878,0.9381377,0.8426829216702199
Molded Pulp,1800.38,8.33,94.72,26.48,94.66,1.44,0.8393321837919717,0.2383878114656202,0.6447578762121298,1.0569524629298148,26.199883,0.8648692627700132,0.8194296,0.8421494195834777
Starch-Based Packaging,2098.97,9.76,91.0,17.48,75.05851851851851,1.35,0.8600531117282391,0.2745784497226081,0.6367964853999342,1.521252511453353,18.052565,0.7548681800012218,0.9289069,0.8418875487866216
Kraft Paper,5854.9,13.54,83.17,35.313870967741934,76.93,0.52,0.7080847528727675,0.3261952188753093,0.6152834711199183,0.593350637514086,34.41407,0.9747049238505721,0.7090537,0.8418793095262229
Kraft Paper,6152.88,6.34,80.38,28.55,85.34,0.95,0.793081348144408,0.3125168763403115,0.656729631443873,0.8608770773609618,29.699211,0.9113230694957918,0.7724083,0.8418656880472275
Hemp Fiber,7349.21,25.62,90.66,18.5,70.8,1.28,0.8382646806362029,0.4612734147246008,0.7047510928185825,1.4744069971490505,18.937664,0.7659667299857,0.91701365,0.8414901875789096
Bamboo Fiber,3525.37,7.73,95.73,24.97,86.54,0.82,0.8283147740469579,0.2746166909129636,0.6628762145965926,1.1338695385942665,25.005531,0.8466462157696857,0.83547837,0.8410622905954904
Kraft Paper,7583.45,6.59,91.52,27.69,88.15,0.84,0.8091104392830093,0.3454017754961295,0.7099856641930927,0.8710719702703591,29.759092,0.9089077148941462,0.7716037,0.8402557091964933
Molded Pulp,3213.65,8.13,85.93,24.03,90.2,1.33,0.8476007573844988,0.2726255850106185,0.6493242697541461,1.1056917946639309,25.626287,0.8533220331687476,0.8271371,0.8402295728931202
Bamboo Fiber,6288.65,28.32,85.29,22.44,85.77,1.63,0.8483602398384247,0.4433381072323473,0.692653572466036,1.2616231197020629,23.026268,0.8163790807690833,0.86207414,0.8392266087515461
Starch-Based Packaging,2425.88,4.76,90.98,33.95,80.31,1.39,0.7302761247159807,0.2141092347523197,0.589933251919776,1.4624732948719283,19.515797,0.768794039989432,0.9092452,0.8390196164970201
Kraft Paper,5703.31,13.45934426229508,91.31,35.0,81.53,0.43,0.7246581646048977,0.3234555669957962,0.639630858977994,0.5640395973566048,35.434788,0.9816492396322642,0.6953381,0.8384936550124364
Hemp Fiber,6130.67,22.19,98.27,17.43,72.57,1.51,0.8530293637970209,0.4213324101354456,0.7087768943312638,1.545653094703145,18.168201,0.749087240313185,0.92735314,0.8382201920026008
Kraft Paper,7459.8,18.17,90.22,35.97,76.92,0.44,0.7022570966927544,0.3812777202237836,0.6516590725940331,0.5427768170743892,35.880314,0.9866867770203311,0.68935144,0.8380191082481722
Kraft Paper,4919.57,19.08,85.97050847457626,37.93,82.24,0.77,0.7008982378187326,0.3287278772165376,0.6071707501324418,0.6308545825083202,34.337166,0.9658195606666011,0.71008706,0.8379533107974729
Kraft Paper,5979.862698412697,17.29,85.33,30.38,84.84,0.89,0.7754111890936632,0.3604334305449468,0.656040681400681,0.8268048862677406,30.938469,0.9193953880847688,0.75575614,0.837575763920009
Bagasse Fiber,2543.59,16.98,96.08,21.5,91.7,1.42,0.8744562231759656,0.3105649526577924,0.6718880209693161,1.2470212935344493,23.596313,0.8198385176008193,0.85441434,0.8371264307173714
Bamboo Fiber,6633.72,4.93,92.71,21.07,85.58,1.67,0.8598957687452663,0.3340705877144165,0.7176426814664689,1.2996881229826551,22.680283,0.8073607927250094,0.86672324,0.8370420160734269
Bagasse Fiber,4931.95,19.29,95.23,24.83,91.61,0.86,0.8447618353951022,0.3631308633132805,0.6942498436535429,1.1470216368632493,25.415466,0.8435302457092253,0.82997,0.8367501239418014
Mushroom Mycelium,2663.31,13.97,97.42131147540982,11.82,76.91,1.65,0.9156201792476648,0.3220463004059142,0.6834983752139381,1.8125807007716748,13.682169,0.6858472605160879,0.98763293,0.836740095397433
Molded Pulp,2702.16,13.17,87.55,24.56,86.29,1.38,0.8311875965665236,0.2865836566934511,0.6348481028816324,1.14778831608481,25.40727,0.8433486055289665,0.8300801,0.836714348741122
Recycled Paperboard,6234.75,5.04,72.54,25.49,90.96,1.07,0.83697997475385,0.3152667810314392,0.6651236614340149,1.054623420491109,27.06401,0.8654210550665826,0.8078181,0.8366195849120602
Kraft Paper,5716.23,17.68,91.84,35.313870967741934,77.47,0.53,0.7097047528727675,0.344551195517125,0.6315827863107031,0.5359048673548675,36.386265,0.9883148662533259,0.6825528,0.8354338403684842
Starch-Based Packaging,2001.95,5.56,94.80654545454549,18.17,81.59,1.05,0.8735506109568291,0.2493239522477143,0.6533708566092289,1.4349314507255828,20.54957,0.7753192012233829,0.89535415,0.835336676474576
Starch-Based Packaging,3646.21,3.85,90.1,20.14,81.92,1.03,0.8571333905579398,0.2694197319450227,0.6625193004400611,1.355308223324698,21.9715,0.7941833845365126,0.87624735,0.8352153654688637
Molded Pulp,2311.8,19.5,85.72,25.57,94.26,0.88,0.8461730825549103,0.308430686066441,0.6372757396018731,1.112912233785723,26.294558,0.8516113804906162,0.81815743,0.8348844074770586
Kraft Paper,5435.4,23.03,77.83,43.45,79.35,0.66,0.6434526760918959,0.3456405051866247,0.5721476274328853,0.6689802850696477,34.23282,0.9567868918645984,0.7114892,0.8341380462283197
Starch-Based Packaging,2134.79,6.57,94.4,18.16,67.89,1.13,0.8325389724816965,0.2572564702421395,0.6272445581776034,1.4617336728630506,20.364605,0.7689692698264198,0.89783955,0.8334044080150165
Bamboo Fiber,3253.86,28.21,90.13,25.07,89.1,1.3,0.8351111587982831,0.3736961309320064,0.6522155903290712,1.2074959814141464,24.887379,0.8292027792325675,0.837066,0.8331343869860499
Bamboo Fiber,4936.2,24.44,96.68,25.07,88.81,1.2,0.8342411587982832,0.3889955932586378,0.690709756385123,1.1949101755969265,25.112856,0.8321845843644309,0.83403623,0.8331104077026927
Molded Pulp,2156.44,18.75,95.45,32.03,88.66,1.049795918367347,0.7722915374905326,0.2850830350684864,0.6186963311053502,1.1086727145762374,26.690802,0.8526157993032902,0.812833,0.8327244052268252
Molded Pulp,2933.19,6.84,87.28,25.69,93.99,1.27,0.8443027442565008,0.2560558462049356,0.648993248168229,1.107871466436557,26.873075,0.8528056294857587,0.81038374,0.8315946832865042
Recycled Paperboard,4159.32,6.59,72.92,25.26,90.91,1.08,0.8388622898258016,0.281087473294984,0.6346300833112642,1.0697204379146543,27.572733,0.861844298466082,0.8009823,0.8314132974664548
Starch-Based Packaging,2912.64,7.07,96.25,21.2,84.37,1.75,0.8551170689219894,0.2681468441287001,0.6643991843257111,1.420353695091942,21.43393,0.7787729353100767,0.8834708,0.8311218545034881
Starch-Based Packaging,3433.89,10.2,96.59,18.9,77.26,1.16,0.8541102196415046,0.3007126544644313,0.6676131247205027,1.4598244405293876,20.73863,0.7694216015128539,0.8928137,0.8311176420345031
Hemp Fiber,4751.3,33.25,94.85,22.93,86.1,1.12,0.8450205251199192,0.4357272759076006,0.6868765974663067,1.3272634262208063,23.204056,0.8008277044267844,0.8596852,0.8302564434990978
Molded Pulp,1995.52,10.0,88.74,29.59,92.99,0.93,0.8068417495581923,0.2431064578084767,0.6206785301014295,1.053099006719693,28.203175,0.865782216272524,0.7925109,0.8291465714980022
Bagasse Fiber,3969.86,12.72,94.62,25.741525423728813,88.11,0.96,0.826207457755489,0.3073774864898777,0.6677308696564682,1.1482761811827666,26.54852,0.8432330214595893,0.8147449,0.8289889555978824
Bagasse Fiber,2281.38,3.07,93.5,23.85,85.66,1.2606666666666666,0.835571264832113,0.2279770713421663,0.641696978227525,1.2623658045135833,24.563051,0.8162031252987296,0.84142405,0.8288135866228298
Bagasse Fiber,3932.29,18.61,94.3,20.93,84.53,1.14,0.8579828300934107,0.3489259391806212,0.677571306082926,1.1939284727403585,25.834915,0.8324171675345664,0.8243337,0.8283754474471691
Bamboo Fiber,3203.3,7.77,97.1,21.79,81.59,1.44,0.8415637389548094,0.276223516184826,0.6627918691109185,1.4065420871923704,22.17993,0.7820451551355154,0.8734466,0.8277458694416896
Bagasse Fiber,4087.22,6.53,98.09,21.67,81.95,1.79,0.8437040772532188,0.2883600562355778,0.6795880141593749,1.4230838944719302,21.893354,0.7781261016753864,0.8772974,0.8277117515518045
Kraft Paper,4522.9,12.19,79.45,32.92,80.13,0.87,0.7388373617773288,0.2979178551261953,0.6027469449088075,0.8112621156025362,32.693924,0.9230777516938969,0.7321677,0.8276227362442874
Kraft Paper,4574.65,11.02,93.87,29.98,80.47,0.78,0.7658356500883615,0.3004110913671847,0.64423079643529,0.8236185949548822,32.588764,0.9201502781511081,0.7335807,0.8268654933274155
Corrugated Cardboard,4869.83,28.41,82.78,33.21,92.93,0.54,0.7746748775561727,0.387417824900831,0.6392694558242707,0.7405099284095887,34.0815,0.9398402250647993,0.7135225,0.8266813594520316
Bagasse Fiber,3358.51,6.99,97.64,26.18,92.34,1.35,0.8350230295379955,0.2643378935730712,0.671143472814818,1.2121245112121803,25.941132,0.8281061967725173,0.8229065,0.8255063454565712
Molded Pulp,3461.35,5.81,89.33,27.16,97.13,1.18,0.8407336001009844,0.2579345510863726,0.6619608832706417,1.0588602968232734,28.651754,0.8644172623993676,0.7864832,0.825450245303001
Starch-Based Packaging,2851.65,11.1,90.28,19.45,70.16,1.26,0.8279503357737944,0.2919555849275568,0.6297120297916146,1.5459128607852113,20.18016,0.749025697028008,0.90031797,0.8246718319830134
Starch-Based Packaging,3614.6,5.54,91.61,25.11618181818182,84.24,1.02,0.8201230892107134,0.2648642216071775,0.6508504457494184,1.2459121586935114,25.520426,0.8201012917138691,0.82855964,0.8243304643917857
Kraft Paper,4046.92,19.45,84.54,44.69,83.2,0.61,0.6440458470083312,0.2956027988664642,0.5671613569531881,0.6794801860441144,35.560234,0.9542992753333719,0.6936524,0.8239758333835439
Bagasse Fiber,4405.24,23.56,93.68,26.74,83.75,1.01,0.8043047841454177,0.3693471531518042,0.6600658862952298,1.1706261279539758,26.911737,0.8379379146585544,0.8098642,0.8239010688309709
Bagasse Fiber,4730.5,20.18,95.99,25.741525423728813,81.63,1.8,0.8067674577554889,0.3612443437719174,0.6692511201009833,1.2153090921159246,26.155397,0.8273517119330462,0.82002735,0.8236895316562204
Hemp Fiber,5759.84,33.44,90.34,21.26,89.7,1.27,0.8705768997727846,0.4616667595521054,0.7069333370644201,1.4669979777411641,21.723625,0.7677220607458716,0.87957805,0.8236500573485674
Bagasse Fiber,2324.49,22.34,94.28,26.27,88.06,1.4,0.8213877758141883,0.3214737239076922,0.6395595626019098,1.22941400079819,25.920574,0.8240100038450586,0.8231827,0.8235963529547864
Starch-Based Packaging,3429.61,10.03,90.3,24.2,83.4,1.26,0.8256986114617522,0.2863732352926809,0.6471625387226887,1.3088062798714244,24.570543,0.8052005363696421,0.8413234,0.8232619560357732
Starch-Based Packaging,3231.83,1.56,98.62,19.35,82.67,1.35,0.866363951022469,0.251157037287563,0.6776755465061148,1.502248135774722,21.172728,0.7593706604740152,0.8869806,0.8231756268392567
Kraft Paper,7540.17,7.75,86.87,34.15,81.4,0.73,0.7317788942186316,0.3341449293772076,0.6620440614687423,0.7452774272473008,34.54501,0.9387107183246751,0.7072942,0.8230024720087121
Kraft Paper,6303.07,5.51,77.61,28.58,88.45,0.70109375,0.8021462635698056,0.3112791445282039,0.6596074649218415,0.791434323517583,33.744057,0.9277753144126498,0.7180568,0.822916056196956
Kraft Paper,4304.84,8.85,76.03,31.06,85.67,0.91,0.7718926054026762,0.2810165489536197,0.6106582627168579,0.8553012032047472,32.650345,0.91264409497601,0.7327533,0.8226986859004806
Bamboo Fiber,4418.68,16.49,90.67,21.06,83.47,1.73,0.8536541302701337,0.3477442227794389,0.6751963658289135,1.37395378857646,23.508547,0.7897659127463368,0.8555937,0.822679797040893
Recycled Paperboard,4924.23,24.16,84.18,25.97,84.08,1.029516129032258,0.812098621560212,0.3850427390259613,0.6526292899769914,1.0896562075837022,28.54401,0.8571211539038577,0.787931,0.8225260894660432
Starch-Based Packaging,2850.9,3.83,91.09,24.35,83.44,1.48,0.8244931885887401,0.2423256882536015,0.6393263204816859,1.385137073088973,23.3425,0.7871163902894691,0.85782486,0.8224706261463978
Bagasse Fiber,3693.35,16.59,91.08,29.47,88.21,1.6,0.7935620878566019,0.3121013405089024,0.6424568767192144,1.1919774495286557,26.803316,0.832879400236193,0.81132114,0.8221002697859127
Recycled Paperboard,6760.08,8.97,82.99,25.91,80.16,0.86,0.8008687907094167,0.34514794242342,0.6709623965300584,1.0402686855851562,29.501724,0.8688219515074403,0.77506196,0.8219419582480745
Bagasse Fiber,3951.68,13.21,91.85,19.93,85.85,1.6,0.8707789825801564,0.324185555647223,0.6793920345641802,1.178346391678906,27.081924,0.8361088444878674,0.8075774,0.8218431080425788
Bagasse Fiber,3558.87,23.07,98.28,27.21,82.98,1.11,0.7978417924766473,0.3482368583246499,0.6528960539591873,1.2208300568212311,26.415457,0.8260436954953068,0.81653285,0.8212882728804048
Bagasse Fiber,4956.79,5.36,90.98,25.741525423728813,85.41,1.75,0.8181074577554889,0.2899779735344193,0.6702719066459643,1.257832432136473,25.763788,0.8172771632439377,0.8252895,0.8212833255413414
Corrugated Cardboard,5822.78,37.05,82.46,30.5,88.15,0.79,0.7842808507952537,0.4581281166009943,0.6540360284924681,0.8008699106983275,33.91157,0.9255398530773736,0.7158059,0.820672870626669
Molded Pulp,2601.68,8.94,95.12,29.6116,88.6,0.93,0.7934808886644786,0.2500929228092949,0.633944277447346,1.0593112581652542,29.368092,0.8643104214975358,0.7768576,0.8205840180073738
Bamboo Fiber,4029.57,22.29,96.58,36.39,83.46,1.44,0.7181659126483211,0.3307493193613892,0.6229516075987923,1.3149925290749849,24.907001,0.8037349019962812,0.83680236,0.820268632695986
Kraft Paper,6087.79,21.22,83.41,49.85,83.62,0.56,0.599711300176723,0.3336329031934611,0.5776904692123651,0.6946885319153947,35.990055,0.9506961430091712,0.6878768,0.8192864817867206
Starch-Based Packaging,2715.77,7.04,92.64,15.78,71.61,1.8,0.8647290154001513,0.2776261042127635,0.649138504995987,1.6684716509895179,18.844963,0.7199893019895454,0.9182593,0.8191243123164127
Kraft Paper,7504.04,11.84,79.73,28.07,76.17,0.68,0.7698127013380459,0.3697041075384206,0.6597553125352118,1.0515849996478817,29.95314,0.8661409119430251,0.76899624,0.8175685753257607
Molded Pulp,2364.23,19.4,89.48,29.5,90.54,1.29,0.8002870032819995,0.2990753651921976,0.6232904486655482,1.1553194527342954,28.181192,0.8415643429846107,0.79280627,0.8171853053614765
Kraft Paper,6669.17,24.09,82.55,38.03,89.01,0.84,0.7203246225700579,0.3901382144200803,0.6404811188509223,0.6991201981658111,36.236923,0.9496462010856975,0.6845596,0.8171028923748189
Bagasse Fiber,2496.1,20.44,98.24,25.741525423728813,86.73,1.6,0.822067457755489,0.3166050697574041,0.6494776446312585,1.2781748684507717,26.043217,0.8124576719950269,0.82153475,0.8169962124203956
Bagasse Fiber,3168.73,9.17,95.1,25.741525423728813,94.94,1.73,0.8466974577554889,0.2727083130471515,0.6699899032946798,1.1215806303277067,28.849447,0.8495576804995875,0.7838268,0.8166922542512586
Bagasse Fiber,4883.91,22.53,97.56,27.8,80.06,0.78,0.7838684625094672,0.3712427275141468,0.6638265230531339,1.1749555409249313,27.940174,0.8369121983872062,0.7960449,0.8164785422497096
Recycled Paperboard,5544.46,27.47,72.72,25.39,82.52,1.1,0.8125435900025246,0.4162247880508304,0.6383310690954197,1.0752328887099913,29.701878,0.8605382991276693,0.7723725,0.8164553916674113
Kraft Paper,4156.89,3.87,92.53,29.29,83.23,0.52,0.780212595304216,0.2569288530542141,0.6432344784852233,0.7502805883699634,35.466667,0.9375253789250569,0.6949097,0.8162175353678325
