Material_Type,Strength_PSI,Weight_Capacity_KG,Biodegradability_%,CO2_Emission_Score_%,Recyclability_%,Cost_per_KG_USD,CO2_Impact_Index,Cost_Efficiency_Index,Material_Suitability_Score
Bagasse Fiber,3951.68,13.21,91.85,19.93,85.85,1.6,0.8707789825801564,0.32418555564722307,0.6793920345641802
Mushroom Mycelium,1696.75,12.11,99.16,29.2,78.31,1.58,0.7662478490280231,0.2487534968915302,0.6090481388721494
Bagasse Fiber,3168.73,9.17,95.1,25.741525423728813,94.94,1.73,0.8466974577554889,0.2727083130471515,0.6699899032946798
Cotton Fiber,5210.31,8.82,90.74,33.05,67.68,2.75,0.700338661954052,0.2944682982632485,0.6105667508480751
Mushroom Mycelium,2390.79,13.68,98.4,15.36,82.49,2.36,0.9010801994445846,0.30601659625895417,0.6790070186270198
Recycled Paperboard,5396.034374999999,13.86,75.69,37.31,94.96,1.029516129032258,0.7445366523605149,0.31335426162267266,0.6217271778952745
Mushroom Mycelium,3256.0,12.8,95.71,26.82,60.65,2.4,0.734297891946478,0.2903774115837243,0.5998937872521609
Molded Pulp,2690.74,4.82,93.77,30.48,87.37,1.13,0.7821175738449886,0.2286263379362603,0.6268670018077257
Cotton Fiber,4493.33,10.394833333333334,88.35,48.02,71.56,1.99,0.5797014592274677,0.24999123575100918,0.5457877300168588
Corrugated Cardboard,4195.03,33.64,80.21,48.01,88.46510638297873,0.95,0.6305051399012713,0.3629630104607322,0.5587348964857761
Bagasse Fiber,2136.27,6.59,99.1,33.3,91.98,1.69,0.7710296238323655,0.21916670819662998,0.6275237404857017
Bamboo Fiber,3096.76,5.26,90.37,22.91,80.25,1.97,0.8276472481696541,0.2583453537029794,0.6407517032662122
Mushroom Mycelium,1906.22,13.43,95.9,20.85,76.42,2.77,0.8343597222923504,0.2809060281854101,0.6335940375469806
Aluminum Packaging,18966.41,22.28,1.11,87.08,88.52,3.04,0.285441343095178,0.5100405520872403,0.4804486383639766
Bamboo Fiber,3991.16,7.8,86.4,27.07,76.38,1.7,0.7792788538247917,0.27925691445100026,0.623110610109588
Recycled PET (rPET),9722.94,26.03,8.24,65.32,85.94,1.86,0.46997602120676596,0.39400921046270043,0.4293342529770421
Corrugated Cardboard,4623.48,37.19,74.07,40.62,88.11,0.62,0.6947389876293866,0.40862145438036357,0.5803278158435135
Mushroom Mycelium,2682.56,8.24,95.84,19.47,77.01,2.06,0.8483236127240595,0.27377454298119536,0.651859354085114
Recycled Paperboard,6099.17,24.94,85.93,38.31,87.14,1.18,0.7122404998737691,0.3820584729618344,0.6336527066490996
Starch-Based Packaging,3728.27,1.54,91.43,31.05,69.37,2.32,0.7230809669275435,0.23173049393033684,0.6000331512397596
Aluminum Packaging,14279.41,44.38,3.91,64.9,91.6,3.51,0.4906672052511991,0.5828219286313319,0.503884898181446
Molded Pulp,3461.35,5.81,89.33,27.16,97.13,1.18,0.8407336001009844,0.2579345510863726,0.6619608832706417
Bagasse Fiber,2543.59,16.98,96.08,21.5,91.7,1.42,0.8744562231759656,0.3105649526577924,0.6718880209693161
Hemp Fiber,7886.09,28.59,89.42,25.54,72.62,1.8,0.7815181671295127,0.4697612253505854,0.6875328796531416
Starch-Based Packaging,1997.07,9.22,97.45,32.46,73.97,2.35,0.724421991921232,0.23189680131255674,0.5892331632810607
PHA Bioplastic,6229.84,2.41,82.26,55.69,46.41,2.12,0.4364781696541278,0.22544902762145408,0.4810442447524064
Recycled PET (rPET),9692.23,21.07,9.0,59.58,87.95,1.43,0.5267255364806867,0.38245882737455705,0.4561389841100376
Bagasse Fiber,4485.32,13.4,98.15,29.34,87.01,1.54,0.7911107876798789,0.3123815646847966,0.6669254257775725
PHA Bioplastic,7589.96,5.13,89.13416666666666,58.5,54.86,3.04,0.43699858116637214,0.2602728180328179,0.5220541149380815
Plywood (Lightweight),13510.7,55.82,69.26,44.32,73.26,3.29,0.6174952234284271,0.6775693837707568,0.66412193229093
Plywood (Lightweight),14799.66,77.6,61.45,59.75,63.92,2.5,0.4531333905579399,0.7767119075588784,0.5912621155279878
Kraft Paper,6303.07,5.51,77.61,28.58,88.45,0.70109375,0.8021462635698056,0.3112791445282039,0.6596074649218415
Bagasse Fiber,3358.51,6.99,97.64,26.18,92.34,1.35,0.8350230295379955,0.26433789357307125,0.671143472814818
Recycled PET (rPET),7106.55,19.72,7.28,72.64,87.46,1.54,0.4098553850037868,0.2893727866071037,0.3623590491844748
Kraft Paper,5230.14,19.81,91.32,29.44,87.99,0.68,0.7931671724312042,0.3602913765013762,0.6663248099029159
Bamboo Fiber,6220.65,14.86,94.72,36.51,88.46,1.07,0.7321055743499116,0.33746280303264964,0.6625830519390447
Kraft Paper,6821.08,19.56,82.52,44.85,88.34,0.89,0.6580520626104519,0.3528388165663804,0.6155983240921735
Recycled Paperboard,4921.07,22.33,80.96,33.0,86.62,0.64,0.7576004695783893,0.357854680778792,0.6245913719230999
Recycled Paperboard,4220.54,4.79,77.03,40.04,86.72,1.2,0.695693956071699,0.23581191151494496,0.5794530903069233
Molded Pulp,1540.31,10.43,88.8,22.11,90.09,1.19,0.8642361701590507,0.2548278145737353,0.6363006183101445
Recycled PET (rPET),9810.19,25.03,19.29,60.16181818181818,85.69,1.79,0.51480450230658,0.403703791477629,0.47183855600197183
Molded Pulp,3234.93,6.59,89.23,33.76,91.23,1.17,0.7647149936884625,0.2406095581801952,0.6214731478879792
Cotton Fiber,4367.05,16.8,80.76,49.19,69.34116666666667,1.57,0.5627066608179753,0.27725266599628323,0.5197740546180913
Molded Pulp,3294.23,6.22,98.44,24.18,87.68,0.74,0.838715334511487,0.26411993470229117,0.6700071921925452
Mushroom Mycelium,2275.6799999999994,14.94,96.07,10.63,73.6,2.35,0.9162052007068922,0.32204463424705115,0.6726977986477589
PHA Bioplastic,5366.97,1.83,89.13416666666666,62.27,53.85,3.100983606557377,0.40065628629134054,0.1881127934567824,0.471455050882951
Bagasse Fiber,4087.22,6.53,98.09,21.67,81.95,1.79,0.8437040772532188,0.2883600562355778,0.6795880141593749
Recycled Paperboard,6553.85,16.81,70.07,25.38,90.13,0.85,0.835461951527392,0.3824068825728064,0.6638587299825899
Bamboo Fiber,6967.8,3.52,86.75,26.01,76.53,0.85,0.7890951754607421,0.32124909490529796,0.6740572573513808
Corrugated Cardboard,5009.29,20.78,88.24,36.51,85.73,0.61,0.7239155743499117,0.34286777411680425,0.6254566069139476
PHA Bioplastic,5692.41,11.69,86.37,63.22,49.2,2.16,0.37831194142893204,0.2429224081703991,0.45804483122523665
PLA Bioplastic,8559.51,14.47,80.98,68.27,74.77,2.4,0.4103993713708659,0.30340351372203017,0.5235104575736225
Bagasse Fiber,4227.52,10.31,93.32,28.66,90.16,0.84,0.8065693713708659,0.292964327389498,0.6621518522772857
Corrugated Cardboard,5945.82,15.06,74.15,40.21,93.01,1.08,0.7130618101489523,0.323491879728771,0.6122453063894759
Corrugated Cardboard,4194.22,15.07,71.4,42.57,84.01,1.13,0.6652084902802323,0.2815470541266455,0.5527736398511086
PLA Bioplastic,6336.44,7.19,80.1,59.86,57.06,2.27,0.43158141378439785,0.24160230959266876,0.4838729369086801
Molded Pulp,2259.91,17.49,96.77,21.07,89.25,1.03,0.8709057687452664,0.3084267213871338,0.6656205268357152
PHA Bioplastic,7652.93,1.57,80.99,43.3,70.0,3.68,0.6167280989649079,0.28170482544144504,0.5945607399093186
Corrugated Cardboard,3579.66,13.5,81.23,45.53,83.79,0.65,0.6383934789194647,0.25338701218223925,0.5513228875061711
Recycled PET (rPET),9417.69,5.35,7.62,67.37,81.0,1.97,0.4370419086089371,0.2766108182372713,0.4057394649623552
Bagasse Fiber,3969.86,12.72,94.62,25.741525423728813,88.11,0.96,0.826207457755489,0.3073774864898777,0.6677308696564682
Corrugated Cardboard,4836.82,27.23,84.42,43.24,94.55,1.14,0.6909082681141125,0.3553716965047174,0.607300866666753
PLA Bioplastic,6963.56,8.421694915254237,69.88,47.36,73.72,2.61,0.59201331986872,0.29237247164000935,0.5537438809172818
Bagasse Fiber,3932.29,18.61,94.3,20.93,84.53,1.14,0.8579828300934107,0.34892593918062126,0.677571306082926
Molded Pulp,2364.23,19.4,89.48,29.5,90.54,1.29,0.8002870032819995,0.29907536519219763,0.6232904486655482
Bagasse Fiber,2515.32,15.21,99.59,31.94,89.61,0.92,0.7759367912143398,0.27455871336531185,0.634764053796276
Recycled PET (rPET),9535.79,8.83,16.85,48.39,83.64,1.57,0.6126720828073718,0.3447857058854981,0.5031979518914715
Molded Pulp,2721.83,16.56,86.46,29.65,92.99,1.06,0.8063115804089875,0.29150486634520467,0.6270937892726829
Bagasse Fiber,3340.4,9.55,97.01,28.09,80.7,0.91,0.783225978288311,0.27225803225054446,0.6390896127407983
Aluminum Packaging,11024.77,47.17,1.58,77.62,94.8,3.756470588235295,0.387871345619793,0.498039882051149,0.40722862994746284
Kraft Paper,6914.05,4.13,90.01,41.96,83.81,0.63,0.6699985432971471,0.2830006164819073,0.6339136215395267
Cotton Fiber,4354.987258064515,10.394833333333334,87.57,40.67,76.59,2.07,0.6597371800050492,0.2657008493308518,0.5799851624786867
Recycled PET (rPET),8587.42,7.6,10.56,67.65,81.71,2.14,0.4366977859126482,0.27034833191765356,0.3991739266878753
Mushroom Mycelium,1226.54,2.94,98.55,22.17,80.86,2.24,0.836016001009846,0.209849834369745,0.6322931753328134
PHA Bioplastic,5111.21,2.71,90.99,61.41,64.85,2.86,0.4412553774299419,0.1895300732100062,0.496480993825505
Hemp Fiber,5460.08,13.04,85.22,33.12,74.48,1.12,0.7201201312799798,0.32104927341251593,0.6167036432053518
Hemp Fiber,7164.47,3.27,97.59,34.93,87.38,1.88,0.7428266952789699,0.3014951412427153,0.6867165453201547
Bamboo Fiber,6406.28,11.91,94.93,22.25,81.75736842105263,1.15,0.8380012140740641,0.36217031737212835,0.7064641731175421
Starch-Based Packaging,2850.9,3.83,91.09,24.35,83.44,1.48,0.8244931885887401,0.24232568825360154,0.6393263204816859
Bagasse Fiber,4654.57,19.79,98.56,32.49,88.13,1.27,0.7666369073466295,0.3406468853764174,0.6606691745577485
Aluminum Packaging,12674.48,23.16,1.17,81.47,99.44,4.8,0.36777215854582174,0.39925971227361695,0.4265643107047019
Cotton Fiber,4195.39,15.9,89.74,42.06,75.66,1.97,0.6446649280484725,0.2871107288992939,0.5747434167130753
PHA Bioplastic,5070.92,4.03,97.28,53.38,58.22,2.02,0.49231968189851044,0.21573608770822522,0.5256021304409495
Hemp Fiber,6785.12,4.44,87.66,20.44,83.2,1.48,0.8583225448119162,0.33626579999520295,0.7074935334545411
Bamboo Fiber,6562.95,20.51,92.68,38.09,81.75736842105263,1.74,0.6980365586840112,0.369461170236795,0.6443918983731494
Starch-Based Packaging,3092.78,4.55,98.13,18.3,73.7,1.71,0.8487319111335521,0.2662646479944756,0.6605850924455965
Bamboo Fiber,6178.88,27.03,95.82,34.32,82.16,1.47,0.7325567482958848,0.40447863236566395,0.6598342931284594
Hemp Fiber,7334.55,11.93,97.81,30.77,87.35,1.33,0.7794950896238322,0.3598615725957104,0.7054750865823016
Aluminum Packaging,18416.46,47.54,1.63,88.12,98.85,3.25,0.3072417445089623,0.6255058476821629,0.4897252523442194
PHA Bioplastic,8343.79,6.491803278688525,80.69,61.36,57.43,3.75,0.4194371850542792,0.27553840347359115,0.5110887354773058
PLA Bioplastic,9766.92,7.58,78.0,63.0,68.19,2.74,0.43722589497601605,0.30625273284309745,0.5429721978280694
Mushroom Mycelium,2877.92,8.38,95.13,10.11,67.63,1.69,0.90289,0.30214154992122233,0.6701379330073922
Mushroom Mycelium,3032.68,6.69,96.12,28.94,73.19,1.86,0.7531852486745771,0.24912934307815227,0.6143204231534434
Starch-Based Packaging,3104.39,5.92,94.73,27.79,71.62,1.47,0.7586368240343347,0.24956336205786334,0.6138588605533168
Bagasse Fiber,3693.59,14.38,91.72,15.6,84.95,1.14,0.9063395228477658,0.33580096702962076,0.6897466046419718
PHA Bioplastic,8546.34,9.9,89.13416666666666,62.43,66.0,3.43,0.4356925018934612,0.2944644163738447,0.5442091544351365
Mushroom Mycelium,1408.41,7.98,98.96,13.96,84.97,2.83,0.9208908129260287,0.26013844562072774,0.6752310995051645
Plywood (Lightweight),9221.91,39.27,54.04,49.54,59.87,4.23,0.5312005074476142,0.4913671567515536,0.5209215004925734
Molded Pulp,3467.36,10.4,96.73,30.24,96.94,1.42,0.8129482504418075,0.2737967327714028,0.6648261986241614
Bamboo Fiber,3203.3,7.77,97.1,21.79,81.59,1.44,0.8415637389548094,0.276223516184826,0.6627918691109185
PLA Bioplastic,7465.51,8.421694915254237,69.11,51.57,74.63,2.471724137931034,0.5575431178995203,0.29207111807622077,0.5458246980284456
Recycled PET (rPET),10366.05,24.81,19.74,50.0,76.23,1.79,0.5762158773037112,0.4396678575617827,0.5008788924684888
Mushroom Mycelium,2852.25,1.52,97.37,17.87,62.87,2.43,0.8200414567028527,0.24687895235591023,0.6353202409494307
Plywood (Lightweight),10019.41,69.49,60.35510204081632,52.05,63.95,2.71,0.5212617647058824,0.6562539601643259,0.5445264475994114
PHA Bioplastic,5795.43,5.86,85.51,38.07,61.03,2.88,0.6360311764705882,0.2786692375993115,0.5768137120385146
Kraft Paper,4653.27,13.83,86.48,25.51,83.3225396825397,0.5,0.8138908707517342,0.32770916456001464,0.6532803077138434
Aluminum Packaging,13076.87,21.94,4.04,74.72,88.46,3.26,0.39447618783135563,0.4183297606326709,0.44212153134536936
Recycled PET (rPET),11517.99,10.12,11.78,53.44,80.82109090909093,2.2,0.5595927854765785,0.37942740662311814,0.49887180876376735
Hemp Fiber,5381.92,17.804,99.06,16.48,73.62,2.12,0.8645737086594294,0.385856516481151,0.7045024489105614
Mushroom Mycelium,3361.52,9.07,98.28,11.73,74.11,2.62,0.9080154329714718,0.3115362466503606,0.6907323589160613
Corrugated Cardboard,4313.63,6.72,78.9,49.63,94.89,0.66,0.635465253723807,0.2234034114246,0.5646570690978099
Recycled Paperboard,3790.37,19.02725806451613,88.22,32.55,80.42,0.65,0.7429767381974249,0.31880759920481544,0.6109839462715512
PHA Bioplastic,6458.12,7.95,99.25,52.64,58.36,3.65,0.49927843473870237,0.26622695469047,0.5540343053633452
Plywood (Lightweight),11414.03,14.46,60.35510204081632,64.65,72.45,3.27,0.43542624337288555,0.3712211736674577,0.5353312337174646
Kraft Paper,6669.17,24.09,82.55,38.03,89.01,0.84,0.7203246225700579,0.39013821442008034,0.6404811188509223
Bagasse Fiber,2410.49,17.8,94.96,28.57,87.23,0.94,0.798574625094673,0.294178303469158,0.6318781815929374
Bamboo Fiber,4046.97,21.93,96.54,23.11,83.72,1.16,0.8362900176723049,0.3627899372330957,0.6739503449892594
Hemp Fiber,7309.37,32.85,86.31,22.74,88.56,2.16,0.854079394092401,0.48678830100364456,0.7148902004816431
PHA Bioplastic,5540.78,3.33,90.79,44.12,64.32,2.36,0.5924424539257762,0.24519500291919324,0.5671250234551077
PLA Bioplastic,7086.96,4.38,79.09,45.99,72.99,1.85,0.6019288487755616,0.27766465992352823,0.5778164015604987
Hemp Fiber,5084.08,32.66,87.23,27.87,73.44,2.39,0.763389931835395,0.4270798561658889,0.6327274573760515
PHA Bioplastic,7806.35,5.94,99.01,58.03,53.22,2.28,0.4362315728351426,0.2700610524728844,0.5436664423571808
Bagasse Fiber,3948.54,24.02,96.57,21.44,82.67,1.19,0.8478963923251702,0.3756878820260322,0.6767157245295625
Starch-Based Packaging,1724.93,3.75,93.44,33.28,82.13,2.36,0.7416563468821005,0.19620498294769878,0.5902197353075647
Bagasse Fiber,2496.1,20.44,98.24,25.741525423728813,86.73,1.6,0.822067457755489,0.31660506975740416,0.6494776446312585
Bagasse Fiber,4889.79,3.98,90.63,18.46,91.76,1.09,0.9014981267356728,0.29991287082445794,0.7088118490739604
PHA Bioplastic,6467.1,2.3,89.13416666666666,50.20177419354839,45.74,3.9,0.4829629697616274,0.24362262131015464,0.5179122994955357
Cotton Fiber,3296.84,8.15,85.99,53.55,69.24,1.65,0.5238775359757637,0.1999129862980421,0.4970181325866211
Plywood (Lightweight),9920.25,45.9,58.52,63.55,69.86,4.09,0.43737601110830593,0.5043303291606878,0.5075924816294343
Kraft Paper,7170.68,13.02,89.61,44.72,80.92,0.42,0.6369407624337289,0.32685569739492926,0.6208408236229022
PHA Bioplastic,7428.11,8.58,96.32,49.41,68.43,3.53,0.5580292072708912,0.2975657963880916,0.5955072691041843
Molded Pulp,2516.25,7.61,87.51,23.71,91.32,0.63,0.8537883261802575,0.25642100266417084,0.6451781712408842
Bagasse Fiber,4525.92,13.15,95.92,27.86,86.92,1.35,0.8039182933602625,0.31567257421412437,0.6685116474465105
Hemp Fiber,4751.3,33.25,94.85,22.93,86.1,1.12,0.8450205251199192,0.43572727590760063,0.6868765974663067
Cotton Fiber,5491.89,8.03,92.32,56.75,75.12,2.35,0.5132418480181772,0.23638110628873515,0.5432051534979689
Aluminum Packaging,16288.17,35.48,2.97,79.55,95.2,3.83,0.37201757132037366,0.5415709102616755,0.484721053577319
Bamboo Fiber,6548.57,13.91,92.05,29.19,76.18,1.74,0.7599462105528906,0.3578229096963822,0.6654574902565549
Recycled Paperboard,4003.18,21.59,73.27,44.89,85.44,1.38,0.648998616510982,0.3051610702439048,0.547644210867829
Cotton Fiber,3665.71,11.99,94.08,41.37,67.92,1.23,0.6275418732643272,0.2579241743184143,0.5623926008310102
PHA Bioplastic,6685.19,5.34,82.78,47.17,53.32,2.98,0.5324921888412018,0.2713375059532887,0.5351963541606402
Plywood (Lightweight),13765.28,66.6,60.35510204081632,61.94,58.87,2.25,0.41863221661196665,0.6935488855510138,0.5547153058066561
Bamboo Fiber,5600.13,12.64,98.2,22.1,88.64,1.03,0.8599745316839182,0.3497027826441725,0.7149051907648878
Kraft Paper,6376.04,15.1,77.55,27.73,83.35,0.89,0.7943569931835395,0.3640554731331255,0.6536321975197669
Plywood (Lightweight),13814.9,48.49,58.67,50.17,51.09,4.28,0.49929373138096433,0.6315078620401936,0.5811191411722485
PLA Bioplastic,6978.41,13.17,73.2,61.02,65.51,1.56,0.4466814768997728,0.2825170927408869,0.4924709780805208
Molded Pulp,3896.17,15.63,99.08,26.34,92.14764705882354,1.049795918367347,0.8330321863165867,0.3192582344833773,0.6813325189928112
PLA Bioplastic,9282.86,12.98,81.46,65.68,65.17,2.16,0.40448500631153744,0.31719149793883605,0.5262414650702336
Cotton Fiber,5629.22,10.394833333333334,81.08,36.1,72.96,1.44,0.6892283968694772,0.30345480099837274,0.5966994504057525
PHA Bioplastic,6063.02,10.51,91.51,57.73,55.49,3.12,0.44569241858116637,0.2583625080530596,0.507425140312047
Molded Pulp,3151.85,18.53,89.53,36.49,92.72,1.46,0.7450622973996466,0.2931760782424244,0.6134335248665403
Hemp Fiber,7465.01,15.49,98.92,19.66,78.19,2.02,0.8501847437515778,0.4088318747773079,0.7334633336750788
Aluminum Packaging,19441.72,46.32,1.43,79.92,95.39,4.09,0.3693181949002777,0.6610517090815783,0.5292780901359584
Hemp Fiber,6130.67,22.19,98.27,17.43,72.57,1.51,0.8530293637970209,0.42133241013544565,0.7087768943312638
Aluminum Packaging,14152.6,19.32,3.15,73.21,96.6,4.89,0.4322387780863419,0.43085220205252134,0.4789371270979525
Recycled PET (rPET),10736.22,10.92,16.53,69.02,91.0,2.61,0.45246225700580667,0.32810788627224435,0.4576765514675355
Molded Pulp,2731.42,7.7,90.31,33.22,85.79,0.8,0.7531665160313052,0.23729995419204872,0.6070309360294368
Recycled PET (rPET),9476.95,16.566981132075473,11.34,70.24,72.49,2.65,0.38615215097197675,0.328048449572153,0.3862136156828717
PLA Bioplastic,9464.3,4.8,81.79,60.65,69.46,3.36,0.46180085331986864,0.29171757671192533,0.5573301643014323
Cotton Fiber,4560.15,11.48,90.99,32.51,73.1,1.28,0.7213701842968947,0.2960820452895825,0.6139197939117123
Kraft Paper,7388.44,13.9,80.92,25.72,77.27,0.44,0.7938776596818985,0.38381184107871824,0.6714534084878383
Cotton Fiber,5635.78,3.7,90.5,49.13,63.54,2.89,0.5458333299671799,0.236396733167449,0.5474778227379972
Molded Pulp,1859.74,16.75,99.52,23.01,92.14764705882354,1.38,0.8624565740974501,0.2915047625244519,0.6634003313541073
Corrugated Cardboard,4869.83,28.41,82.78,33.21,92.93,0.54,0.7746748775561727,0.387417824900831,0.6392694558242707
Bagasse Fiber,2603.16,8.03,95.18,18.15,93.23,0.91,0.908647334006564,0.2743976147847521,0.686751437939172
Hemp Fiber,7042.03,15.74,85.77,22.12,83.13,2.2,0.8432678086341833,0.39519953738671626,0.7011716508273895
Recycled PET (rPET),9166.45,9.2,5.01,47.53,80.67,2.42,0.6113611739459732,0.34125345044024075,0.47110944144327405
Bagasse Fiber,2562.5,14.41,96.27,30.05,87.23,1.61,0.7854971194142892,0.2762025710607947,0.6312420472735758
PLA Bioplastic,8931.49,13.77,78.83,43.95,51.63,2.39,0.555874599848523,0.3688693171833426,0.5707636016721317
Cotton Fiber,3783.54,14.75,84.52,54.42,71.17,1.67,0.5219800833122948,0.24154156398371424,0.5021504104471516
Hemp Fiber,6229.51,4.52,98.46,28.79,81.87,1.7308620689655172,0.780550671547589,0.3041638077263563,0.6862630469547226
Recycled Paperboard,6465.29,17.11,70.9,41.31,93.56,1.3,0.7049920424135319,0.3419045899179709,0.6106883369005931
PLA Bioplastic,7910.621499999999,8.421694915254237,64.0,54.27,70.76,2.55,0.5220755061853067,0.2944125201623904,0.5244971498459235
PLA Bioplastic,6989.68,3.64,76.24,41.15,71.98,2.58,0.6416658268114113,0.28409134389281343,0.5869177277740392
Bamboo Fiber,5077.51,13.22,99.34,27.03,82.01,1.65,0.7965222999242615,0.3294751956028674,0.6771937636906917
Mushroom Mycelium,1096.91,13.5,97.77,24.88,73.32,2.68,0.789450027770765,0.25443944040850874,0.6033886115006012
Aluminum Packaging,18256.61,21.48,3.62,63.81,95.19,3.96,0.511068611461752,0.5500863362139278,0.5759831182530931
Aluminum Packaging,18880.62,6.61,3.97,75.85,97.34,4.97,0.411131335521333,0.4563502689817621,0.5450182742774909
Cotton Fiber,3560.66,2.97,85.55,38.52,62.49,2.35,0.6364349078515525,0.2167489792593444,0.5436255447208633
Bamboo Fiber,6193.51,23.38,88.23,36.62,86.96,0.97,0.7266335975763696,0.3802742495572752,0.6457534066345261
Aluminum Packaging,12580.09,45.91,2.4,84.91,93.41,3.05,0.3192857939914163,0.5051801585880894,0.4024834993695486
Aluminum Packaging,13251.77,12.67,0.98,82.53,85.89,3.96,0.3177558369098712,0.3547212104648672,0.40397776253961426
Corrugated Cardboard,6397.83,39.99,77.71,53.22,86.43,0.79,0.5783634662963899,0.427661597025095,0.5639201312100373
Kraft Paper,6541.88,8.34,86.14,36.16,84.97,0.69,0.7247282277202727,0.3115538649644299,0.6447063925461175
Cotton Fiber,4132.55,11.97,94.24,55.68,76.84,1.9,0.5278565311789952,0.23129938620581159,0.5335657759496228
Recycled PET (rPET),11193.99,21.71,8.93,54.92,83.57,2.16,0.5547620070689219,0.42839989955898067,0.48805914709709086
Hemp Fiber,5548.74,9.19,90.24,28.62,80.42,1.64,0.7777028174703358,0.31451079868193255,0.6570439394232146
Recycled PET (rPET),11138.75,25.29,12.878653846153847,47.87,80.14,2.18,0.6067668821004797,0.4634020742590408,0.5149505612608274
Aluminum Packaging,14316.82,43.12,0.18,68.28,88.86,4.57,0.45258100984599847,0.5686034968980641,0.4787141488541449
Starch-Based Packaging,3179.18,1.19,95.14,24.26,75.05851851851851,2.24,0.8001439978681029,0.2357824483615451,0.6360787015466688
Recycled Paperboard,4265.87,19.02725806451613,85.61,46.75,94.03,1.3,0.6583333728856349,0.2927411512942759,0.5865412123058218
Cotton Fiber,3651.95,4.86,83.44,35.14,71.57,2.08,0.6935411032567532,0.2368427838767087,0.5717693673005785
Corrugated Cardboard,6498.47,18.33,80.15,53.07,88.46510638297873,0.64,0.5857942083183378,0.31914777321231386,0.5749967052803592
Mushroom Mycelium,2125.65,8.58,95.08,23.89,72.62864406779661,2.07,0.7961237509360329,0.2528995082558566,0.616243241164015
Cotton Fiber,5735.92,16.2,90.06,33.73,74.74,1.35,0.7155100782630649,0.3413730008912542,0.6288606937367133
Recycled Paperboard,5536.15,13.16,74.14,44.85,88.22,1.029516129032258,0.6576920626104519,0.2936153814678937,0.5787524554008027
PHA Bioplastic,8628.01,7.32,98.91,64.25,52.09,3.32,0.3778807043675839,0.27833270797200693,0.5303303806835615
Bagasse Fiber,3840.86,11.69,91.11,33.72,90.17,1.71,0.7618884397879323,0.2793041844223554,0.63261870968885
